pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
237.4,-110.1,0.0,top,C1,,Radial AVX Interconnect / Elco,CAPRR508W50L508T317H508,SR215E104MARTR1.,tht
211.190003,-110.650001,180.0,top,C2,,Radial AVX Interconnect / Elco,CAPRR508W50L508T317H508,SR215E104MARTR1.,tht
115.061999,-95.4932,90.0,top,C4,,RADIAL-2 Panasonic,CAPPRD500W60D1000H2000,ECA2AM470B,tht
126.187199,-95.4932,90.0,top,C5,,RADIAL-2 Panasonic,CAPPRD500W60D1000H2000,ECA2AM470B,tht
184.5,-110.8,180.0,top,C6,,Radial AVX Interconnect / Elco,CAPRR508W50L508T317H508,SR215E104MARTR1.,tht
130.0788,-142.358597,180.0,top,J1,,None,JST_B4B-XH-A,B4B-XH-A,tht
152.166,-72.7794,0.0,top,J10,,None,JST_B6B-XH-A,B6B-XH-A_LF__SN_,tht
171.1252,-72.7794,0.0,top,J11,,None,JST_B6B-XH-A,B6B-XH-A_LF__SN_,tht
190.2768,-72.7794,0.0,top,J12,,None,JST_B6B-XH-A,B6B-XH-A_LF__SN_,tht
209.1744,-72.7286,0.0,top,J13,,None,JST_B6B-XH-A,B6B-XH-A_LF__SN_,tht
228.1736,-72.6778,0.0,top,J14,,None,JST_B6B-XH-A,B6B-XH-A_LF__SN_,tht
246.9404,-72.6778,0.0,top,J15,,None,JST_B6B-XH-A,B6B-XH-A_LF__SN_,tht
245.1624,-142.3246,0.0,top,J16,,None,JST_B6B-XH-A,B6B-XH-A_LF__SN_,tht
114.6556,-120.9548,90.0,top,J17,,,PinSocket_1x24_P2.54mm_Vertical,HC-PM254-8.5H-1x24PZ,tht
114.6556,-105.7148,90.0,top,J18,,,PinSocket_1x24_P2.54mm_Vertical,HC-PM254-8.5H-1x24PZ,tht
144.2012,-142.358598,180.0,top,J2,,None,JST_B4B-XH-A,B4B-XH-A,tht
158.192798,-142.324598,180.0,top,J3,,None,JST_B4B-XH-A,B4B-XH-A,tht
172.213598,-142.273798,180.0,top,J4,,None,JST_B4B-XH-A,B4B-XH-A,tht
186.031198,-142.358598,180.0,top,J5,,None,JST_B4B-XH-A,B4B-XH-A,tht
199.797998,-142.324598,180.0,top,J6,,None,JST_B4B-XH-A,B4B-XH-A,tht
214.021998,-142.324598,180.0,top,J7,,None,JST_B4B-XH-A,B4B-XH-A,tht
228.703198,-142.324598,180.0,top,J8,,None,JST_B4B-XH-A,B4B-XH-A,tht
133.2976,-72.7794,0.0,top,J9,,None,JST_B6B-XH-A,B6B-XH-A_LF__SN_,tht
183.794407,-99.8728,90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
211.683601,-99.8728,90.0,top,R10,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
214.833201,-99.8728,90.0,top,R11,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
217.931995,-99.8728,90.0,top,R12,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
221.234001,-99.8728,90.0,top,R13,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
224.434401,-99.8728,90.0,top,R14,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
227.584001,-99.8728,90.0,top,R15,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
230.733601,-99.8728,90.0,top,R16,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
236.169201,-99.8728,90.0,top,R17,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
239.268007,-99.8728,90.0,top,R18,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
242.468407,-99.8728,90.0,top,R19,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
186.994794,-99.8728,90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
245.618007,-99.8728,90.0,top,R20,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
248.767601,-99.8728,90.0,top,R21,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
251.917207,-99.8728,90.0,top,R22,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
255.117607,-99.8728,90.0,top,R23,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
258.267207,-99.8728,90.0,top,R24,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
190.195201,-99.8728,90.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
193.395601,-99.8728,90.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
196.697601,-99.8728,90.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
199.999601,-99.8728,90.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
